id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category	product_type
28997296	Epiguard Cream	Epiguard Cream by Herbario Cosmetics Pvt. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100GM.	https://www.indianskinstore.com/product/epiguard-cream	https://indianskinco.github.io/iss-catalog-images/p/28997296.jpg	in_stock	265.00 INR	Herbario Cosmetics Pvt	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
24342475	Epiguard-hx Body	Epiguard-hx Body by Herbario Cosmetics Pvt. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 500M.	https://www.indianskinstore.com/product/epiguard-hx-body	https://indianskinco.github.io/iss-catalog-images/p/24342475.jpg	in_stock	450.00 INR	Herbario Cosmetics Pvt	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
20334211	Epilight Intense Lotion	Epilight Intense Lotion by Epi Dermizz. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.	https://www.indianskinstore.com/product/epilight-intense-lotion	https://indianskinco.github.io/iss-catalog-images/p/20334211.jpg	in_stock	1299.00 INR	Epi Dermizz	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
22223827	Femderm Antistrect Oil	Femderm Antistrect Oil by Palsons Drugs & Chemical Industries. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.	https://www.indianskinstore.com/product/femderm-antistrect-oil	https://indianskinco.github.io/iss-catalog-images/p/22223827.jpg	in_stock	399.00 INR	Palsons Drugs & Chemical Industries	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Post-Procedure
19309006	Forfora Z Shampoo 75ML	Forfora Z Shampoo 75ML by Encore Healthcare Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75ML.	https://www.indianskinstore.com/product/forfora-z-shampoo-75ml	https://indianskinco.github.io/iss-catalog-images/p/19309006.jpg	in_stock	270.94 INR	Encore Healthcare Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
23794943	Happyheel Cream	Happyheel Cream by Micro Labs Limited.. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50GM.	https://www.indianskinstore.com/product/happyheel-cream	https://indianskinco.github.io/iss-catalog-images/p/23794943.jpg	in_stock	450.00 INR	Micro Labs Limited.	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
19309628	Hqn-detan Body Lot 150ml	Hqn-detan Body Lot 150ml by Nidus Pharma Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/hqn-detan-body-lot-150ml	https://indianskinco.github.io/iss-catalog-images/p/19309628.jpg	in_stock	398.00 INR	Nidus Pharma Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
23931334	Hydrofil Cream 200gm	Hydrofil Cream 200gm by Ethicare Remedies. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 200GM.	https://www.indianskinstore.com/product/hydrofil-cream-200gm	https://indianskinco.github.io/iss-catalog-images/p/23931334.jpg	in_stock	210.00 INR	Ethicare Remedies	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
18840883	Hydrofil Lotion 100ml	Hydrofil Lotion 100ml by Ethicare Remedies. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*100ML.	https://www.indianskinstore.com/product/hydrofil-lotion-100ml	https://indianskinco.github.io/iss-catalog-images/p/18840883.jpg	in_stock	190.00 INR	Ethicare Remedies	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
24204676	Hydromax-ct Cream	Hydromax-ct Cream by Ubik Solutions Pvt. Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100GM.	https://www.indianskinstore.com/product/hydromax-ct-cream	https://indianskinco.github.io/iss-catalog-images/p/24204676.jpg	in_stock	315.00 INR	Ubik Solutions Pvt. Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
19312325	Hydronic Ultra Soap 100gm	Hydronic Ultra Soap 100gm by Regaliz Medicare Limited. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/hydronic-ultra-soap-100gm	https://indianskinco.github.io/iss-catalog-images/p/19312325.jpg	in_stock	199.00 INR	Regaliz Medicare Limited	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
19309659	Itch Insta Spray 60ML	Itch Insta Spray 60ML by Rely On Pharmaceutical Pvt Ltd.. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/itch-insta-spray-60ml	https://indianskinco.github.io/iss-catalog-images/p/19309659.jpg	in_stock	305.00 INR	Rely On Pharmaceutical Pvt Ltd.	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
23185240	Ken Cream	Ken Cream by Revluk. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50GM.	https://www.indianskinstore.com/product/ken-cream	https://indianskinco.github.io/iss-catalog-images/p/23185240.jpg	in_stock	390.00 INR	Revluk	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
29000480	Keraglo Ad Bodywash	Keraglo Ad Bodywash by Ipca Laboratories Ltd.,. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/keraglo-ad-bodywash	https://indianskinco.github.io/iss-catalog-images/p/29000480.jpg	in_stock	438.00 INR	Ipca Laboratories Ltd.,	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
19309679	Kitnor Max Soap 75G	Kitnor Max Soap 75G by Lyra Laboratories Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/kitnor-max-soap-75g	https://indianskinco.github.io/iss-catalog-images/p/19309679.jpg	in_stock	111.00 INR	Lyra Laboratories Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
28770430	Kzop Body Wash	Kzop Body Wash by Oziel Pharma. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.	https://www.indianskinstore.com/product/kzop-body-wash	https://indianskinco.github.io/iss-catalog-images/p/28770430.jpg	in_stock	295.00 INR	Oziel Pharma	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
29011215	Liquet-ultra Gel	Liquet-ultra Gel by Canixa Life Sciences Pvt Ltd. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 15GM.	https://www.indianskinstore.com/product/liquet-ultra-gel	https://indianskinco.github.io/iss-catalog-images/p/29011215.jpg	in_stock	690.00 INR	Canixa Life Sciences Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Post-Procedure
